i,j,w_k,v_k,wk_vk,d_k,d_k_renorm,ratio
50,0,0.21590605896815832,11.072192260605336,2.3905533951250417,2.2872174574961623,0.25973933679935063,0.9567732150055263
0,46,0.24820331341033514,9.701993809939225,2.4080670103134767,2.2709515258524906,0.006174576821985603,0.9430599381687735
47,50,0.24354950744452897,9.711509006574909,2.365233235094426,2.26416006309516,0.13555360248402695,0.9572671436797096
6,0,0.2796449423791045,8.453579901243302,2.3640008643803387,2.263182353658578,0.2324577561032843,0.9573525914305502
55,59,0.21329831734473936,11.718378771253523,2.4995104739166907,2.2590744118112096,0.04869032415610506,0.903806739513789
3,35,0.2965699996284217,7.959980093167865,2.360691293273038,2.25530192829526,0.12455403672598192,0.955356566409978
55,11,0.18265864877174362,12.753787980489783,2.3295896792375688,2.2524878176721255,0.1960331346175335,0.9669032438404873
56,49,0.24835698628377373,9.373423650293311,2.3279552489478963,2.226804541678565,0.13988635857660453,0.956549548229054
10,37,0.27096164924906907,8.490901277910018,2.3007086138735264,2.2156646040127232,0.14435554406202025,0.9630357319705858
59,13,0.28166786363795177,8.12486860682516,2.288514382823504,2.208816177580563,0.24204768731428006,0.9651746976811166
52,29,0.27808174921186046,8.273487383302184,2.30070584363093,2.208295935779222,0.10863928241603664,0.9598341056473919
32,24,0.31160036869788504,7.340308724045607,2.287242904768913,2.1901485906996947,0.20635818190225405,0.9575496271660625
37,30,0.19413801803679703,11.609762217135708,2.2538962267132168,2.160928633672705,0.15954265426401254,0.9587524962601836
37,25,0.1856276785428013,12.023696755460954,2.231930916218829,2.152204725812199,0.24753093105761997,0.9642792750316411
56,21,0.2211124880886749,10.191213120182313,2.253404489645459,2.1510952080151093,0.11339133628370097,0.9545979063676905
7,0,0.27920377259161966,8.008500757416472,2.2360036242735224,2.1348463159343574,0.17354916501100132,0.9547597744292426
13,47,0.3214097512715726,6.845206456592624,2.2001161046159985,2.1250373241396963,0.01733145141270747,0.9658750825382435
34,0,0.24697586872019392,8.88735715674761,2.1949627544143735,2.124402239045665,0.30363275266289635,0.9678534338558585
4,21,0.426692494208017,5.033017741070666,2.147550893330642,2.1206246298287788,0.058531808516302006,0.9874618740885328
26,56,0.4353142817711196,4.988472090540371,2.1715531452288572,2.1146311867970624,0.3144964988708736,0.9737874439974639
52,30,0.2614478647196098,8.320139780953836,2.1752827798990624,2.1004656876191174,0.11695955206148932,0.9656058086004724
29,50,0.24959154544968137,8.614029999974248,2.1499890602434912,2.0851631584153525,0.1527539278194021,0.9698482643345185
59,55,0.32893351733244736,6.935476204596096,2.281310582353286,2.0719165633146246,0.27222474481909564,0.9082132785170088
46,28,0.2237437562011114,10.26668777897623,2.2971072874121874,2.067947573167743,0.2514286919559371,0.9002398732091416
27,44,0.27329062579006635,7.862085546566185,2.1486342790361084,2.0568824396452787,0.07620786176818527,0.957297600486952
